[Fecha 19/11/22 15:55:25] Cliente [252.127.0.0] [Inserción] [7|  ]
[Fecha 20/01/25 13:31:32] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 13:31:35] Cliente [127.0.0.1] [Borrado] [5|  ]
[Fecha 20/01/25 13:31:44] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 13:32:03] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 13:32:27] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 13:32:36] Cliente [127.0.0.1] [Borrado] [4|  ]
[Fecha 20/01/25 13:34:36] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 13:34:41] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 13:34:45] Cliente [127.0.0.1] [Inserción] [5|  ]
[Fecha 20/01/25 13:35:00] Cliente [127.0.0.1] [Inserción] [6|  ]
[Fecha 20/01/25 13:35:09] Cliente [127.0.0.1] [Lectura] [6|  ]
[Fecha 20/01/25 13:35:13] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 13:35:17] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 13:35:25] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 13:35:27] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 13:35:30] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 13:43:46] Cliente [127.0.0.1] [Borrado] [6|  ]
[Fecha 20/01/25 13:43:50] Cliente [127.0.0.1] [Borrado] [5|  ]
[Fecha 20/01/25 13:44:00] Cliente [127.0.0.1] [Borrado] [4|  ]
[Fecha 20/01/25 13:44:50] Cliente [255.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 13:44:54] Cliente [255.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 13:44:59] Cliente [255.127.0.0] [Lectura] [1|  ]
[Fecha 20/01/25 13:47:24] Cliente [255.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 13:47:29] Cliente [255.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 13:47:34] Cliente [255.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 13:47:38] Cliente [255.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 13:47:45] Cliente [255.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 13:47:50] Cliente [255.127.0.0] [Inserción] [5|  ]
[Fecha 20/01/25 13:47:52] Cliente [255.127.0.0] [Borrado] [5|  ]
[Fecha 20/01/25 13:47:56] Cliente [255.127.0.0] [Borrado] [4|  ]
[Fecha 20/01/25 13:48:00] Cliente [255.127.0.0] [Borrado] [3|  ]
[Fecha 20/01/25 13:48:06] Cliente [255.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 13:48:11] Cliente [255.127.0.0] [Borrado] [1|  ]
[Fecha 20/01/25 13:48:26] Cliente [255.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 13:48:30] Cliente [255.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 13:48:34] Cliente [255.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 13:48:41] Cliente [255.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 13:48:44] Cliente [255.127.0.0] [Borrado] [4|  ]
[Fecha 20/01/25 13:48:47] Cliente [255.127.0.0] [Borrado] [3|  ]
[Fecha 20/01/25 13:48:50] Cliente [255.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 13:48:54] Cliente [255.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 13:48:59] Cliente [255.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 13:49:05] Cliente [255.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 13:49:09] Cliente [255.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 13:49:13] Cliente [255.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 13:49:19] Cliente [255.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 13:49:45] Cliente [0.0.0.0] [Borrado] [3|  ]
[Fecha 20/01/25 14:04:02] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 14:04:07] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 14:13:42] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 14:14:09] Cliente [0.0.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 14:14:13] Cliente [0.0.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 14:14:17] Cliente [0.0.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 14:14:21] Cliente [0.0.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 14:14:36] Cliente [0.0.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 14:14:41] Cliente [0.0.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 14:15:23] Cliente [0.0.0.0] [Inserción] [5|  ]
[Fecha 20/01/25 14:15:48] Cliente [0.0.0.0] [Lectura] [5|  ]
[Fecha 20/01/25 14:19:38] Cliente [0.0.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 14:20:47] Cliente [0.0.0.0] [Lectura] [5|  ]
[Fecha 20/01/25 14:20:51] Cliente [0.0.0.0] [Inserción] [6|  ]
[Fecha 20/01/25 14:27:11] Cliente [0.0.0.0] [Lectura] [6|  ]
[Fecha 20/01/25 14:27:39] Cliente [127.0.0.1] [Lectura] [6|  ]
[Fecha 20/01/25 14:28:20] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 14:28:24] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 14:28:29] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 14:28:35] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 14:28:42] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 14:28:47] Cliente [127.0.0.1] [Inserción] [5|  ]
[Fecha 20/01/25 14:29:38] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 14:29:42] Cliente [127.0.0.1] [Inserción] [6|  ]
[Fecha 20/01/25 14:29:47] Cliente [127.0.0.1] [Lectura] [6|  ]
[Fecha 20/01/25 14:29:54] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 14:30:01] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 14:34:59] Cliente [0.0.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 14:35:47] Cliente [127.0.0.1] [Inserción] [0|  ]
[Fecha 20/01/25 14:35:51] Cliente [127.0.0.1] [Inserción] [0|  ]
[Fecha 20/01/25 14:35:55] Cliente [127.0.0.1] [Inserción] [0|  ]
[Fecha 20/01/25 14:35:59] Cliente [127.0.0.1] [Inserción] [0|  ]
[Fecha 20/01/25 14:36:03] Cliente [127.0.0.1] [Inserción] [0|  ]
[Fecha 20/01/25 14:40:05] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 14:40:08] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 14:40:12] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 14:40:16] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 14:40:19] Cliente [127.0.0.1] [Inserción] [5|  ]
[Fecha 20/01/25 14:40:28] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 14:40:33] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 14:40:37] Cliente [127.0.0.1] [Inserción] [6|  ]
[Fecha 20/01/25 14:42:27] Cliente [127.0.0.1] [Lectura] [6|  ]
[Fecha 20/01/25 14:42:30] Cliente [127.0.0.1] [Borrado] [6|  ]
[Fecha 20/01/25 14:42:35] Cliente [127.0.0.1] [Borrado] [5|  ]
[Fecha 20/01/25 14:42:42] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 14:42:49] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 14:42:53] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 14:46:28] Cliente [0.0.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 14:47:39] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 14:55:18] Cliente [253.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 14:55:27] Cliente [253.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 14:55:42] Cliente [253.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 14:56:19] Cliente [127.0.0.1] [Inserción] [5|  ]
[Fecha 20/01/25 14:56:23] Cliente [127.0.0.1] [Inserción] [6|  ]
[Fecha 20/01/25 14:56:29] Cliente [127.0.0.1] [Inserción] [7|  ]
[Fecha 20/01/25 14:56:33] Cliente [127.0.0.1] [Inserción] [8|  ]
[Fecha 20/01/25 14:56:41] Cliente [127.0.0.1] [Lectura] [8|  ]
[Fecha 20/01/25 14:56:50] Cliente [127.0.0.1] [Lectura] [7|  ]
[Fecha 20/01/25 14:57:00] Cliente [127.0.0.1] [Borrado] [8|  ]
[Fecha 20/01/25 14:57:08] Cliente [127.0.0.1] [Lectura] [7|  ]
[Fecha 20/01/25 14:57:24] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 14:57:31] Cliente [127.0.0.1] [Borrado] [7|  ]
[Fecha 20/01/25 14:57:38] Cliente [127.0.0.1] [Borrado] [6|  ]
[Fecha 20/01/25 14:57:51] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 15:00:52] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 15:00:58] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 15:34:38] Cliente [127.0.0.1] [Lectura] [5|  ]
[Fecha 20/01/25 15:36:18] Cliente [253.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 15:36:21] Cliente [253.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 15:36:26] Cliente [253.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 15:36:29] Cliente [253.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 15:36:37] Cliente [253.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 15:36:41] Cliente [253.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 15:36:46] Cliente [253.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 15:37:06] Cliente [253.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 15:37:11] Cliente [253.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 15:38:44] Cliente [253.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 15:42:50] Cliente [253.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 15:51:54] Cliente [253.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 15:56:01] Cliente [253.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 16:01:55] Cliente [253.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 16:02:37] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 16:02:43] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 16:02:49] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 16:02:54] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 16:03:20] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 16:03:27] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 16:03:35] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 16:03:39] Cliente [127.0.0.1] [Lectura] [1|  ]
[Fecha 20/01/25 16:20:54] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 16:22:19] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 16:22:25] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 16:22:52] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 16:22:58] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 16:23:02] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 16:23:22] Cliente [127.0.0.1] [Lectura] [4|  ]
[Fecha 20/01/25 16:23:26] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 16:23:33] Cliente [127.0.0.1] [Borrado] [2|  ]
[Fecha 20/01/25 16:26:39] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 16:27:27] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 16:35:48] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 16:36:18] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 16:36:22] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 16:36:26] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 16:36:31] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 16:37:44] Cliente [127.0.0.1] [Borrado] [2|  ]
[Fecha 20/01/25 16:38:29] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 16:43:04] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 16:45:12] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 16:45:17] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 16:45:21] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 16:45:25] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 16:45:39] Cliente [127.0.0.1] [Borrado] [3|  ]
[Fecha 20/01/25 16:46:54] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 16:47:12] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 16:56:26] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 16:57:08] Cliente [255.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 16:57:12] Cliente [255.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 16:57:16] Cliente [255.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 16:57:21] Cliente [255.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 16:57:43] Cliente [255.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 16:57:49] Cliente [255.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 16:58:05] Cliente [255.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 17:25:56] Cliente [255.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 17:26:22] Cliente [252.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 17:26:28] Cliente [252.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 17:26:33] Cliente [252.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 17:26:46] Cliente [252.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 17:26:51] Cliente [252.127.0.0] [Inserción] [5|  ]
[Fecha 20/01/25 17:28:38] Cliente [252.127.0.0] [Inserción] [6|  ]
[Fecha 20/01/25 17:31:27] Cliente [252.127.0.0] [Lectura] [5|  ]
[Fecha 20/01/25 17:31:33] Cliente [252.127.0.0] [Lectura] [1|  ]
[Fecha 20/01/25 17:31:42] Cliente [252.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 17:31:59] Cliente [252.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 17:32:04] Cliente [252.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 17:33:40] Cliente [252.127.0.0] [Borrado] [3|  ]
[Fecha 20/01/25 17:34:02] Cliente [252.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 17:36:19] Cliente [252.127.0.0] [Lectura] [5|  ]
[Fecha 20/01/25 17:36:54] Cliente [252.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 17:36:58] Cliente [252.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 17:37:03] Cliente [252.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 17:37:08] Cliente [252.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 17:37:14] Cliente [252.127.0.0] [Inserción] [5|  ]
[Fecha 20/01/25 17:37:18] Cliente [252.127.0.0] [Inserción] [6|  ]
[Fecha 20/01/25 17:37:40] Cliente [252.127.0.0] [Borrado] [5|  ]
[Fecha 20/01/25 17:39:58] Cliente [252.127.0.0] [Lectura] [5|  ]
[Fecha 20/01/25 17:52:27] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 17:52:31] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 17:52:36] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 17:52:43] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 17:52:51] Cliente [127.0.0.1] [Inserción] [5|  ]
[Fecha 20/01/25 17:52:55] Cliente [127.0.0.1] [Inserción] [6|  ]
[Fecha 20/01/25 17:53:00] Cliente [127.0.0.1] [Borrado] [5|  ]
[Fecha 20/01/25 17:59:34] Cliente [0.0.0.0] [Lectura] [5|  ]
[Fecha 20/01/25 17:59:39] Cliente [0.0.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 18:05:01] Cliente [0.0.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 18:06:08] Cliente [0.0.0.0] [Inserción] [6|  ]
[Fecha 20/01/25 18:06:12] Cliente [0.0.0.0] [Inserción] [7|  ]
[Fecha 20/01/25 18:06:17] Cliente [0.0.0.0] [Inserción] [8|  ]
[Fecha 20/01/25 18:06:27] Cliente [0.0.0.0] [Inserción] [9|  ]
[Fecha 20/01/25 18:07:41] Cliente [0.0.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 18:07:45] Cliente [0.0.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 18:07:49] Cliente [0.0.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 18:07:53] Cliente [0.0.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 18:07:57] Cliente [0.0.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 18:09:27] Cliente [0.0.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 18:33:26] Cliente [254.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 18:33:52] Cliente [254.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 18:33:55] Cliente [254.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 18:34:00] Cliente [254.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 18:34:03] Cliente [254.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 18:34:08] Cliente [254.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 18:34:17] Cliente [254.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 18:36:41] Cliente [254.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 18:36:46] Cliente [254.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 18:37:56] Cliente [254.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 18:48:17] Cliente [254.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 18:48:40] Cliente [254.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 18:48:43] Cliente [254.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 18:48:47] Cliente [254.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 18:48:51] Cliente [254.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 18:48:58] Cliente [254.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 18:49:18] Cliente [254.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 18:49:21] Cliente [254.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 18:49:26] Cliente [254.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 21:18:40] Cliente [254.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 21:19:13] Cliente [252.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 21:19:18] Cliente [252.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 21:19:22] Cliente [252.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 21:19:27] Cliente [252.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 21:20:09] Cliente [252.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 21:20:51] Cliente [127.0.0.1] [Lectura] [3|  ]
[Fecha 20/01/25 21:21:27] Cliente [127.0.0.1] [Lectura] [2|  ]
[Fecha 20/01/25 21:24:47] Cliente [254.127.0.0] [Inserción] [1|  ]
[Fecha 20/01/25 21:24:51] Cliente [254.127.0.0] [Inserción] [2|  ]
[Fecha 20/01/25 21:24:55] Cliente [254.127.0.0] [Inserción] [3|  ]
[Fecha 20/01/25 21:24:59] Cliente [254.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 21:25:12] Cliente [254.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 21:25:14] Cliente [254.127.0.0] [Borrado] [2|  ]
[Fecha 20/01/25 21:25:24] Cliente [254.127.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 21:25:38] Cliente [254.127.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 21:25:43] Cliente [254.127.0.0] [Inserción] [4|  ]
[Fecha 20/01/25 21:26:20] Cliente [254.127.0.0] [Lectura] [4|  ]
[Fecha 20/01/25 21:28:07] Cliente [127.0.0.1] [Inserción] [1|  ]
[Fecha 20/01/25 21:28:13] Cliente [127.0.0.1] [Inserción] [2|  ]
[Fecha 20/01/25 21:28:17] Cliente [127.0.0.1] [Inserción] [3|  ]
[Fecha 20/01/25 21:28:21] Cliente [127.0.0.1] [Inserción] [4|  ]
[Fecha 20/01/25 21:28:27] Cliente [127.0.0.1] [Borrado] [2|  ]
[Fecha 20/01/25 21:34:27] Cliente [0.0.0.0] [Lectura] [2|  ]
[Fecha 20/01/25 21:34:36] Cliente [0.0.0.0] [Lectura] [3|  ]
[Fecha 20/01/25 21:35:41] Cliente [127.0.0.1] [Inserción] [4|  ]
